code,enviromnent,goverance,rank,social
SEMI.BA,10.0,16.0,351,8.0
KE.O,37.0,29.0,81,82.0
HARG.BA,59.0,63.0,17,79.0
ALUA.BA,20.0,6.0,422,28.0
INDU.BA,1.0,56.0,306,2.0
LEDE.BA,56.0,35.0,194,45.0
PATA.BA,7.0,14.0,138,20.0
COME.BA,0.0,35.0,360,12.0
FERR.BA,21.0,43.0,121,21.0
MOLI.BA,59.0,48.0,89,79.0
CEPU.BA,43.0,67.0,131,37.0
TECO2.BA,63.0,53.0,50,75.0
GARO.BA,4.0,11.0,373,1.0
BPAT.BA,27.0,38.0,432,54.0
BBAR.BA,64.0,81.0,88,72.0
YPFD.BA,50.0,88.0,68,61.0
TRAN.BA,33.0,35.0,204,28.0
CARC.BA,4.0,31.0,301,16.0
CELU5.BA,9.0,4.0,74,4.0
CAPX.BA,23.0,64.0,218,11.0
SAMI.BA,46.0,67.0,116,64.0
TXAR.BA,34.0,64.0,264,40.0
CRES.BA,55.0,72.0,210,20.0
AGRO.BA,1.0,49.0,518,2.0
GBAN.BA,82.0,92.0,1,71.0
DYCA.BA,15.0,28.0,196,25.0
CADO.BA,7.0,44.0,272,35.0
BHIP.BA,18.0,58.0,160,83.0
BMA.BA,55.0,45.0,254,63.0
BOLT.BA,11.0,15.0,403,18.0
CECO2.BA,59.0,64.0,54,79.0
GGAL.BA,81.0,41.0,149,80.0
GCLA.BA,37.0,53.0,64,55.0
EDN.BA,29.0,81.0,139,41.0
DGCU2.BA,5.0,30.0,54,9.0
METR.BA,28.0,74.0,32,38.0
MIRG.BA,5.0,1.0,104,17.0
MELI.O,63.0,31.0,191,77.0
TGSU2.BA,46.0,62.0,95,68.0
LONG.BA,40.0,22.0,59,1.0
OEST.BA,22.0,42.0,63,55.0
MORI.BA,0.0,14.0,367,6.0
PAMP.BA,46.0,91.0,81,52.0
CGPA2.BA,3.0,17.0,55,15.0
CBA.AX,82.0,90.0,11,87.0
TGNO2.BA,35.0,66.0,102,45.0
