,companyName,ricCode
0,Kimball Electronics Inc,KE.O
1,Importadora y Exportadora de la Patagonia SA,PATA.BA
2,Sociedad Comercial del Plata SA,COME.BA
3,Unipar Indupa SAIC,INDU.BA
4,Molinos Juan Semino SA,SEMI.BA
5,Ledesma SAAI,LEDE.BA
6,Holcim Argentina SA,HARG.BA
7,Aluar Aluminio Argentino SAIC,ALUA.BA
8,Garovaglio y Zorraquin SA,GARO.BA
9,Molinos Rio de la Plata SA,MOLI.BA
10,Ferrum SA de Ceramica y Metalurgia,FERR.BA
11,Banco Bbva Argentina SA,BBAR.BA
12,Central Puerto SA,CEPU.BA
13,Compania de Transporte de Energia Electrica en Alta Tension Transener SA,TRAN.BA
14,Telecom Argentina SA,TECO2.BA
15,YPF SA,YPFD.BA
16,Banco Patagonia SA,BPAT.BA
17,Celulosa Argentina SA,CELU5.BA
18,Capex SA,CAPX.BA
19,Ternium Argentina SA,TXAR.BA
20,Carboclor SA,CARC.BA
21,Naturgy BAN SA,GBAN.BA
22,Cresud SACIF y A,CRES.BA
23,Agrometal SAI,AGRO.BA
24,SA San Miguel AGICI y F,SAMI.BA
25,Boldt SA,BOLT.BA
26,Dycasa SA,DYCA.BA
27,Carlos Casado SA,CADO.BA
28,Banco Hipotecario SA,BHIP.BA
29,Banco Macro SA,BMA.BA
30,Grupo Financiero Galicia SA,GGAL.BA
31,Enel Generacion Costanera SA,CECO2.BA
32,Grupo Clarin SA,GCLA.BA
33,Mirgor SACIFIA,MIRG.BA
34,MetroGAS SA,METR.BA
35,Empresa Distribuidora y Comercializadora Norte SA,EDN.BA
36,Distribuidora de Gas Cuyana SA,DGCU2.BA
37,Morixe Hermanos SACI,MORI.BA
38,Grupo Concesionario del Oeste SA,OEST.BA
39,Mercadolibre Inc,MELI.O
40,Transportadora de Gas del Sur SA,TGSU2.BA
41,Longvie SA,LONG.BA
42,Pampa Energia SA,PAMP.BA
43,Commonwealth Bank of Australia,CBA.AX
44,Camuzzi Gas Pampeana SA,CGPA2.BA
45,Brickworks Ltd,BKW.AX
46,Bank of Queensland Ltd,BOQ.AX
47,Transportadora de Gas del Norte SA,TGNO2.BA
48,GUD Holdings Ltd,GUD.AX
49,Harvey Norman Holdings Ltd,HVN.AX
50,Hills Ltd,HIL.AX
51,Macmahon Holdings Ltd,MAH.AX
52,Premier Investments Ltd,PMV.AX
53,Perpetual Ltd,PPT.AX
54,Washington H Soul Pattinson and Company Ltd,SOL.AX
55,Suncorp Group Ltd,SUN.AX
56,Village Roadshow Ltd,VRL.AX
57,Reject Shop Ltd,TRS.AX
58,Iluka Resources Ltd,ILU.AX
59,Infomedia Ltd,IFM.AX
60,Focus Minerals Ltd,FML.AX
61,Iress Ltd,IRE.AX
62,Metals X Ltd,MLX.AX
63,Bionomics Ltd,BNO.AX
64,Collection House Ltd,CLH.AX
65,Elders Ltd,ELD.AX
66,Pendal Group Ltd,PDL.AX
67,Arafura Resources Ltd,ARU.AX
68,Clinuvel Pharmaceuticals Ltd,CUV.AX
69,Bellevue Gold Ltd,BGL.AX
70,Phoslock Environmental Technologies Ltd,PET.AX
71,Domino's Pizza Enterprises Ltd,DMP.AX
72,Hansen Technologies Ltd,HSN.AX
73,Navigator Global Investments Ltd,NGI.AX
74,Aurelia Metals Ltd,AMI.AX
75,Slater & Gordon Ltd,SGH.AX
76,MC Mining Ltd,MCM.AX
77,Woolworths Group Ltd,WOW.AX
78,AMP Ltd,AMP.AX
79,Orica Ltd,ORI.AX
